index,facility_name,source_facility_type,odhf_facility_type,provider,street_no,street_name,postal_code,city,province,source_format_str_address,csdname,csduid,pruid,latitude,longitude,cluster
10,Alberta Children's Hospital,pediatric,Hospitals,Public Health Agency of Canada,28,oki dr nw,T3B 6A8,Calgary,AB,28 Oki Dr NW,Calgary,4806016.0,48.0,51.074582,-114.148426,4
100,Devon General Hospital,general,Hospitals,Public Health Agency of Canada,101,erie st s,T9G 1A6,Devon,AB,101 erie st. s. devon ab t9g 1a6,Devon,4811018.0,48.0,53.351493000000005,-113.730785,4
1000,Kimbelee Place,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,12935,96 ave,V3V 7K6,Surrey,BC,12935 96th ave surrey bc v3v 7k6,Surrey,5915004.0,59.0,49.177418,-122.864118,1
1001,Kimberley Special Care Home,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,386,2 ave,V1A 2Z6,Kimberley,BC,386 2 ave kimberley bc v1a 2z6,Kimberley,5901028.0,59.0,49.6899979,-115.9896466,1
1002,Kinetic Energy Health and Wellness Centre,Ambulatory health care services,Ambulatory health care services,Province of British Columbia,207-450,lansdowne street,V2C 1Y4,Kamloops,BC,207-450 lansdowne street kamloops bc v2c 1y4,Kamloops,5933042.0,59.0,50.67706,-120.3295,1
1003,King Edward House,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,820,e king edward ave,V5V 2E4,Vancouver,BC,820 e king edward ave vancouver bc v5v 2e4,Vancouver,5915022.0,59.0,49.2483529,-123.0870448,1
1004,Kingfisher Place,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,4328,crystal drive,V1T 8V5,Vernon,BC,4328 crystal drive vernon bc v1t 8v5,Vernon,5937014.0,59.0,50.2761527,-119.2445371,1
1005,Kinghaven Treatment Centre,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,31250,king rd,V2T 6C2,Abbotsford,BC,31250 king rd abbotsford bc v2t 6c2,Abbotsford,5909052.0,59.0,49.0307485,-122.358792,1
1006,Kings House,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,8512,164 st,V4N 1E5,Surrey,BC,8512 164th st surrey bc v4n 1e5,Surrey,5915004.0,59.0,49.157599,-122.767254,1
1007,Kinsmen Lodge,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,9650,137a st,V3T 4H9,Surrey,BC,9650 137a st surrey bc v3t 4h9,Surrey,5915004.0,59.0,49.1777346,-122.8417995,1
1009,Kinvillage,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,5410,10 ave,V4M 3X8,Delta,BC,5410 10th ave delta bc v4m 3x8,Delta,5915011.0,59.0,49.0214852,-123.073648,1
101,Didsbury District Health Services,general,Hospitals,Public Health Agency of Canada,1210,20 ave,T0M 0W0,Didsbury,AB,1210 - 20th ave. didsbury ab t0m 0w0,Didsbury,4806032.0,48.0,51.661795,-114.123674,4
1012,Kitimat Hospital & Health Centre,general,Hospitals,Public Health Agency of Canada,920,lahakas blvd s,V8C 2S3,Kitimat,BC,920 lahakas blvd. s. kitimat bc v8c 2s3,Kitimat,5949005.0,59.0,54.0504835,-128.6472372,1
1013,Kiwanis Care Centre,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,35,clute st,V3L 1Z5,New Westminster,BC,35 clute st new westminster bc v3l 1z5,New Westminster,5915029.0,59.0,49.2232118,-122.9150878,1
1017,Kiwanis Village Lodge,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,1221,kiwanis cres,V9S 5Y1,Nanaimo,BC,1221 kiwanis cres nanaimo bc v9s 5y1,Nanaimo,5921007.0,59.0,49.186109,-123.96893,1
1018,Knutsford Group Home,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,3161,merritt princeton highway 5a,V0E 2A0,Knutsford,BC,3161 merritt princeton highway 5a knutsford bc v0e 2a0,Thompson-Nicola L (Grasslands),5933060.0,59.0,50.603467,-120.3104439,1
1019,Kootenay Boundary Regional Hospital,general,Hospitals,Public Health Agency of Canada,1200,hospital bench,V1R 4M1,Trail,BC,1200 hospital bench trail bc v1r 4m1,Trail,5905014.0,59.0,49.103275,-117.701449,1
1021,Kootenay Columbia House,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,114,10 ave,V1N 1Y4,Castlegar,BC,114 10 ave castlegar bc v1n 1y4,Castlegar,5903045.0,59.0,49.3279645,-117.6630835,1
1022,Kootenay Lake Hospital,general,Hospitals,Public Health Agency of Canada,3,view st,V1L 2V1,Nelson,BC,3 view st. nelson bc v1l 2v1,Nelson,5903015.0,59.0,49.4950249,-117.2848169,1
1023,Kootenay Lake Medical Clinic,Ambulatory health care services,Ambulatory health care services,Province of British Columbia,1140,lakeside drive,V1L 5Z3,Nelson,BC,1140 lakeside drive nelson bc v1l 5z3,Nelson,5903015.0,59.0,49.49869,-117.2889,1
1024,Kootenay Street Village,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,620,kootenay st n,V1C 3T9,Cranbrook,BC,620 kootenay st n cranbrook bc v1c 3t9,Cranbrook,5901022.0,59.0,49.5183259,-115.758538,1
1025,Kopernik Lodge,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,3150,rosemont dr,V5S 2C9,Vancouver,BC,3150 rosemont dr vancouver bc v5s 2c9,Vancouver,5915022.0,59.0,49.21522,-123.039,1
1026,Kwantlen Medical Clinic,Ambulatory health care services,Ambulatory health care services,Province of British Columbia,12818,72 avenue,V3W 2M9,Surrey,BC,12818 72nd avenue surrey bc v3w 2m9,Surrey,5915004.0,59.0,49.13365,-122.867417,1
